
Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
82,State at DX Geocode 2000,2,NAACCR,"A,C,I,M",Demographic,stateAtDxGeocode2000,Tumor,2018,18,,,D,.,D,.,Code for the state of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2000 Decennial Census.,"Populating the GeoLocationID - 2000 \[352\] correctly requires FIPS code for state and not the USPS abbreviations. Also, on rare occasions, the boundaries of states do change (North Carolina and South Carolina border, for example).",,"**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level. For U.S. residents, this data item stores the county codes issued by the Federal Information Processing Standards (FIPS) publication Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas. The information in this publication is available in the [FIPS Codes for Counties and Equivalent Entities Section](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).
*   It is recommended that geocoding be performed using the NAACCR geocoder.
*   It is recommended that all cases diagnosed through 2009 should have a State at DX Geocode 2000 \[82\].
*   At a minimum, all cases diagnosed through 1995-2009 should have a State at DX Geocode 2000. Some cases, such as those diagnosed in 2009, must have both State at DX Geocode 2000 \[82\] and State at DX Geocode 2010 \[353\] codes for proper assignment of the Census Tr Poverty Indicatr \[145\].
*   Do not update this item if the patient’s residence changes. Store address update information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   If the patient has multiple tumors, the county codes may be different for each tumor.",**Codes**,"01-95, Blank",,text,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication ""Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas."" These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes, however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and will automatically be accounted for during geocoding.",,,,,,,,,
83,State at DX Geocode 2010,2,NAACCR,"A,C,I,M",Demographic,stateAtDxGeocode2010,Tumor,2018,18,,,D,.,D,.,Code for the state of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2010 Decennial Census.,"Populating the GeoLocationID 2010 \[353\] correctly requires FIPS code for state and not the USPS abbreviations. Also, on rare occasions, the boundaries of states do change (North Carolina and South Carolina border, for example).    

**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level. For U.S. residents, this data item stores the county codes issued by the Federal Information Processing Standards (FIPS) publication Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas. The information in this publication is available in the [**FIPS Codes for Counties and Equivalent Entities Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).
*   It is recommended that geocoding be performed using the NAACCR geocoder.
*   It is recommended that all cases diagnosed through 2019 should have a State at DX Geocode 2010 \[83\].
*   At a minimum, all cases diagnosed through 2005-2019 should have a State at DX Geocode 2010 \[83\]. Some cases, such as those diagnosed 2015-2019, must have both State at DX Geocode 2010 \[83\] and State at DX Geocode 2020 \[354\] codes for proper assignment of the Census Tr Poverty Indicatr \[145\].
*   Do not update this item if the patient's residence changes. Store address update information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   If the patient has multiple tumors, the county codes may be different for each tumor.",,,**Codes**,"01-95, Blank",,text,,,,,,,,,,
84,State at DX Geocode 2020,2,NAACCR,"A,C,I,M",Demographic,stateAtDxGeocode2020,Tumor,2018,18,,,D,.,D,.,Code for the state of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2020 Decennial Census.,"Populating the GeoLocationID 2020 \[354\] correctly requires FIPS code for state and not the USPS abbreviations. Also, on rare occasions, the boundaries of states do change (North Carolina and South Carolina border, for example).  
   
**Instruction for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level. For U.S. residents, this data item stores the state codes issued by the Federal Information Processing Standards (FIPS) publication Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas. The information in this publication is available in the **FIPS Codes for Counties and Equivalent Entities Section.**
*   It is recommended that geocoding be performed using the NAACCR geocoder.
*   It is recommended that all cases diagnosed through 2029 should have a State at DX Geocode 2020 \[84\].
*   At a minimum, all cases diagnosed 2015-2029 should have a State at DX Geocode 2010 \[83\]. Some cases, such as those diagnosed in 2029, must have both State at DX Geocode 2020 \[84\] and State at DX 2030 codes for proper assignment of the Census Tr Poverty Indicatr \[145\].
*   Do not update this item if the patient's residence changes. Store address update information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   If the patient has multiple tumors, the state codes may be different for each tumor.",,,**Codes**,"01-95, Blank",,text,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication ""Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas."" These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes, however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and will automatically be accounted for during geocoding.",,,,,,,,,
86,Geocoding Quality Code,1,NAACCR,"A,C,I,M",Demographic,geocodingQualityCode,Tumor,2024,24,,,D*,.,D,.,"Spatial analysis of cancer data often requires identifying case records that were geocoded. Researchers and registry staff can use this code to select geocoded records and determine which records need to be reviewed and geocoded again. 

Historically, Census Tract Certainty \[369\] and NAACCR GIS Coordinate Quality \[366\] codes have been used to determine which geocoded cases require manual review. However, this code represents an improvement over these variables and is based on the geocoded data's precision and accuracy. 

Code describing the quality of the geocoding match. The code indicates whether an address run through the NAACCR geocoder matched, failed to match, or needs to be reviewed. 

This measure is referred to as Micro Match Status in the NAACCR geocoder documentation and has been in use since July 2017.",,,"**Application:**

*   Cases in the “M” or “I” categories are considered high quality matches for state, county, or sub-county (small area) uses. 
*   Cases in the “R” category require manual review prior to using the data for geospatial analysis below county (small area), but can be used for county-based uses. These “Review” cases should be run through the NAACCR Geocoder as a separate batch run using “Exhaustive Search.” NAACCR has made an interface available, MI GeoCorrect Tool, to assist users in manually selecting among multiple potential addresses (or label as “Fail”). 
*   Cases in the “F” or “Fail” category geocoding will need to be reviewed, possibly corrected, and geocoded again before use.",,"M,I,R,F",,alpha,This variable is not coded directly. The code is directly output by the NAACCR/AGGIE Geocoder or MI GeoCorrect Tool.,,,,,Revised,,,,
87,Geocoding Quality Code Detail,14,NAACCR,"A,C,I,M",Demographic,geocodingQualityCodeDetail,Tumor,2024,24,,,D*,.,D,.,"This variable is an extension of the **GEOCODING QUALITY CODE \[86\]** and is comprised of details about multiple elements related to the quality of a geocode. Each digit of this code represents an element of the input address along with a hexadecimal score indicating either a full match (M) or a number corresponding to a type of error in the element. There are a total of 14 elements that are given codes to describe a full match (M) or an error in the element.

The elements include: Input Type, Street Type, Street, ZIP, City, City Refs, Directionals, Qualifiers, Distance, Outliers, Census Block Groups, Census Tracts, Census Counties, Ref Match Count.

This measure is currently referred to as Penalty Code in the NAACCR geocoder documentation and has been in use since November 2017.",,,,,"A-G, 1-9","14 character combination of A-G,1-9",mixed,"**Application:**

These codes provide researchers and registry staff a detailed assessment of the address components geocoded and the quality of the geocode. The codes provide a way to assess input reference data agreement, geographic accuracy, and micro-scale fitness for use at the sub-county level.

This code is intended to be used by researchers or registry staff when manually reviewing geocoded cases in MI GeoCorrect Tool (for cases with an R or F code in the Geocoding Quality Measure).

This variable is not coded directly. The code is directly output by the NAACCR/AGGIE Geocoder or MI GeoCorrect Tool. 

<table style=""border-color:hsl(0, 0%, 0%);border-style:solid;""><tbody><tr><td style=""border:1.0pt solid windowtext;padding:0in 5.4pt;vertical-align:top;width:40.25pt;"">XXXXXXXXXXXXXX</td><td style=""border-bottom-style:solid;border-color:windowtext;border-left-style:none;border-right-style:solid;border-top-style:solid;border-width:1.0pt;padding:0in 5.4pt;vertical-align:top;width:355.25pt;""><strong>Interactive MMMMMMMMMMMMMM.&nbsp;</strong>Geocoding was completed and the address matched after manual review in MI GeoCorrect Tool.</td></tr><tr><td style=""border-bottom-style:solid;border-color:windowtext;border-left-style:solid;border-right-style:solid;border-top-style:none;border-width:1.0pt;padding:0in 5.4pt;vertical-align:top;width:40.25pt;"">14 digit Combination of M and/or F</td><td style=""border-bottom:1.0pt solid windowtext;border-left-style:none;border-right:1.0pt solid windowtext;border-top-style:none;padding:0in 5.4pt;vertical-align:top;width:355.25pt;"">Each of the 14 positions has ‘M’ when the match for that element is good. Other alphanumeric codes describe any issues with the match. Codes meanings are specific to each of the 14 geocoding elements. For instance, ‘1’ for Input Type is ‘street only’ match but ‘1’ for Street Type is “PO Box”. See website for full details:&nbsp;<a href=""https://geo.naaccr.org/Services/Geocode/About/TechnicalDetails.aspx"">https://geo.naaccr.org/Services/Geocode/About/TechnicalDetails.aspx</a>&nbsp;</td></tr></tbody></table>",,Revised,,,Revised,,,,
89,County at DX Analysis,3,NAACCR,"A,C,I,M",Demographic,countyAtDxAnalysis,Tumor,2018,18,,,D,.,D,.,"County at Diagnosis Analysis Code for the county of the patient's residence at the time the tumor was diagnosed is a derived variable to be used for county and county-based (such as PRCDA, or historically CHSDA) rates and analysis for all cases regardless of year of diagnosis.","Historically, we had a single County at DX \[90\]. However, counties change over time (which impacts our derived variables such as poverty code indicator which don’t directly align with year of diagnosis), and the county reported by the facility does not always match the geocoded county. In the vast majority of cases where geocoded county and reported county differ, the geocoded county is correct. Including additional geocoded county codes for each census year addresses the accuracy of geocoded fields, however, it is cumbersome to pull data from different variables in order to generate county-level rates. Use of this variable ensures the most accurate and appropriate county data is used for calculating county-level rates.

**Instructions for Coding**

*   This variable can be generated using a standard, NAACCR supplied SAS code (or the logic below). At a minimum, this field should be derived prior to release of data for county-level analysis or rates. Ideally, the variable should be updated whenever there is a change to any county field.
*   If the County At DX Reported \[90\] AND the County At DX Geocoded associated with the year of diagnosis are the same, the County At DX Analysis county can be pulled from either field.
*   If the County At DX Reported \[90\] is ""999"" or NULL AND County At DX Geocoded associated with the year of diagnosis is geocoded (Census Tr Cert \[364\] for cases diagnosed through 1999, \[365\] for cases diagnosed 2000-2009, or \[367\] for cases diagnosed 2010-2019\] = is not null and less than 9), pull the County At DX Geocode associated with the year of diagnosis. Cases diagnosed 1990-1999, pull from County At DX Geocode 1990. Cases diagnosed 2000-2009, pull from County At DX Geocode 2000. Cases diagnosed 2010-2019, pull from County At DX Geocode 2010. Cases diagnosed 2020-2029, pull from County At DX Geocode 2020.
*   If the County At DX Geocoded associated with the year of diagnosis does not equal County At DX Reported \[90\] AND is a high quality geocode (Census Tr Cert \[364 \]for cases diagnosed through 1999, \[365\] for cases diagnosed 2000-2009, or \[367\] for cases diagnosed 2010-2019\] = 1), pull the County At DX Geocode associated with the year of diagnosis. Cases diagnosed 1990-1999, pull from County At DX Geocode 1990. Cases diagnosed 2000-2009, pull from County At DX Geocode 2000. Cases diagnosed 2010-2019, pull from County At DX Geocode 2010. Cases diagnosed 2020-2029, pull from County At DX Geocode 2020.
*   If the County At DX Geocoded associated with the year of diagnosis does not equal County At DX Reported \[90\] AND is based on a PO Box address (Census Tr Cert \[364 \]for cases diagnosed through 1999, \[365\] for cases diagnosed 2000-2009, or \[367\] for cases diagnosed 2010-2019\] = 5), the derived county equals the County At DX Reported \[90\].
*   If the County At DX Geocoded associated with the year of diagnosis is ungeocoded (Census Tr Cert \[364\] for cases diagnosed through 1999, #365 for cases diagnosed 2000-2009, or \[367\] for cases diagnosed 2010-2019\] = blank or 9), the derived county equals the County At DX Reported \[90\].
*   If the County At DX Geocoded associated with the year of diagnosis does not match County At DX Reported \[90\] AND a geocode is based on residential addresses but geocoded to the centroid of a zip code (Census Tr Cert \[364\] for cases diagnosed through 1999, \[365\] for cases diagnosed 2000-2009, or \[367\] for cases diagnosed 2010-2019\] = 2-4), manual review is required to resolve the discrepancy. Until manual review can be done, use the County At DX Reported \[90\].
*   If the patient has multiple tumors, the county codes may be different for each tumor.
*   Detailed standards have not been set for Canadian provinces/territories. Use code 998 for Canadian residents.",,,**Codes**,"001-997, 998, 999",,digits,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas._ These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes; however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and changes will automatically be accounted for during geocoding. County codes issued by the Federal Information Processing Standards (FIPS) publication, _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ is available in the [**FIPS Codes for Counties and Equivalent Entities Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).",,,,,,,,,
90,County at DX Reported,3,FIPS/SEER,"A,C,I,M",Demographic,countyAtDx,Tumor,,,,,R,R,R,.,"Code for the county of the patients residence at the time of diagnosis as identified by the Reporting Source. For U.S. residents, standard codes are those of the FIPS publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ or their equivalent INCITS codes.

Calculating county and county-based variable rates using this item is **not** recommended. The more specific, geocoded county items should be used when available.","This data item may be used for epidemiological purposes. For example, to measure cancer incidence in a particular geographic area.

**Instructions for Coding**

*   This field is intended to store address information for the patient's physical, residential address. All efforts should be made to find the patient's true street address and postal code, including reviewing relevant sources outside the medical record if available. The county for a PO Box mailing address should only be recorded when no other address information is available in the medical record and no other information sources are available.
*   If the patient has multiple tumors, county at diagnosis may be different for each tumor.
*   Do not update this item if the patient's county of residence changes. Store updated address information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis. For instance, it is appropriate to correct county during a consolidation process.
*   This variable is coded at time of abstracting and is considered less accurate than the derived, geocoded county at diagnosis variables: County at Diagnosis 1990, 2000, 2010, & 2020.
*   Detailed standards have not been set for Canadian provinces/territories. Use code 998 for Canadian residents.",,_Note:_ See the [**FIPS Codes for Counties and Equivalent Entities Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/) for standard FIPS county codes. See EDITS Table BPLACE.DBF in Appendix B for geocodes used by CoC. _Note:_ SEER does not use code 998. CoC uses country geocodes for nonresidents of the United States (see Appendix B) and 998 for residents of other states.,**Codes (in addition to FIPS and Geocodes)**,001-999,"Right justified, zero filled",digits,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_. These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes; however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and changes will automatically be accounted for during geocoding. County codes issued by the Federal Information Processing Standards (FIPS) publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ is available in the **FIPS Codes for Counties and Equivalent Entities Section**.",,,,,,,,,
94,County at DX Geocode 1970/80/90,3,NAACCR,"A,C,I,M",Demographic,countyAtDxGeocode1990,Tumor,2016,16,,,RH*,.,D,.,"County at Diagnosis 1990 Code for the county of the patient’s residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 1990 Decennial Census. This code should be used for county and county-based (such as PRCDA, or historically CHSDA) rates and analysis for all cases diagnosed prior to 2000.","Census tracts are areas geographically nested within counties and designated with a 6-digit number code. This 6-digit code is commonly repeated within a state in different counties. Census tract numbers are only unique when paired with the state and the county. Therefore, a tract cannot be accurately identified without knowing the county. Example from Massachusetts: Rural Franklin County contains a tract 040600 with 2010 population 4,612 people. Urban Suffolk County contains a tract 040600 with 2,444 people. The county must be known in order to distinguish between the two tract codes. Because we historically used a single variable for county at diagnosis \[90\] correct tract codes were frequently paired with the wrong county due to incorrect county assignment during abstracting or a change of county over time. Also, some variables, such as the Census Tr Poverty Indicatr \[145\] require the use of the decennial Census County codes closest to year of diagnosis and not the decade of year of diagnosis. Using a single county at diagnosis, and using the reported versus geocoded data, may result in erroneous assignment of geographic location as well as invalid links with census data (i.e., population, poverty category, urban/rural designation).

**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level.
*   At a minimum, all cases diagnosed through diagnosis year 1999 should have a geocoded County at Diagnosis 1990. Cases diagnosed 1996-1999 must have both County at Diagnosis 1990 and County at Diagnosis 2000 codes for proper assignment of the Census Tract Poverty Indicator \[145\].
*   If the patient has multiple tumors, geocoded county may be different for each tumor.
*   Do not update this item if the patient's residential county changes. Store updated address information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis. For instance, it is appropriate to correct a county during manual geocoding or a consolidation process.
*   Refer to _STORE_ for residency rules.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   Detailed standards have not been set for Canadian provinces/territories. Use code 998 for Canadian residents.
*   Blank ""Not geocoded"" is allowable for cases diagnosed after 1999. However, it is recommended to have all cases geocoded to a 1990 Census County to allow for both retrospective and cross-sectional analyses.",,,**Codes**,000-999,,digits,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication ""Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas."" These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes; however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and changes will automatically be accounted for during geocoding. County codes issued by the Federal Information Processing Standards (FIPS) publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ is available in the [**FIPS Codes for Counties and Equivalents Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).",,,,,,,,,
95,County at DX Geocode2000,3,NAACCR,"A,C,I,M",Demographic,countyAtDxGeocode2000,Tumor,2016,16,,,D,.,D,.,"Code for the county of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2000 Decennial Census. **This code should be used for county and county-based (such as PRCDA, or historically CHSDA) rates and analysis for all cases diagnosed in 2000-2009.**","Census tracts are areas geographically nested within counties and designated with a 6-digit number code. This 6-digit code is commonly repeated within a state in different counties. Census tract numbers are only unique when paired with the state and the county. Therefore, a tract cannot be accurately identified without knowing the county. Example from Massachusetts: Rural Franklin County contains a tract 040600 with 2010 population 4,612 people. Urban Suffolk County contains a tract 040600 with 2,444 people. The county must be known in order to distinguish between the two tract codes. Because we historically used a single variable for county at diagnosis \[90\], correct tract codes were frequently paired with the wrong county due to incorrect county assignment during abstracting or a change of county over time. Also, some variables, such as the Census Tr Poverty Indicatr \[145\] require the use of the decennial Census County codes closest to year of diagnosis and not the decade of year of diagnosis. Using a single county at diagnosis, and using the reported versus geocoded data, may result in erroneous assignment of geographic location as well as invalid links with census data (i.e., population, poverty category, urban/rural designation).

**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level.
*   It is recommended that all cases diagnosed through 2009 have a geocoded County at Diagnosis 2000.
*   At a minimum, all cases diagnosed through 1996-2009 should have a geocoded County at Diagnosis 2000. Cases diagnosed 1996-1999 must have both County at Diagnosis 1990 and County at Diagnosis 2000 codes for proper assignment of the Census Tract Poverty Indicator \[145\]. Cases diagnosed 2006-2009 must have both County at Diagnosis 2000 and County at Diagnosis 2010 codes for proper assignment of the Census Tract Poverty Indicator \[145\].
*   If the patient has multiple tumors, geocoded county may be different for each tumor.
*   Do not update this item if the patient’s county of residence changes. Store updated address information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis. For instance, it is appropriate to correct a county during manual geocoding or a consolidation process.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   Detailed standards have not been set for Canadian provinces/territories. Use code 998 for Canadian residents.
*   Blank ""Not geocoded"" is allowable for cases diagnosed before 1995 and after 2009. However, it is recommended to have all cases geocoded to a 2000 Census County to allow for both retrospective and cross-sectional analyses.",,,**Codes**,001-999,,digits,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication ""Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas."" These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes; however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and changes will automatically be accounted for during geocoding. County codes issued by the Federal Information Processing Standards (FIPS) publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ is available in the [**FIPS Codes for Counties and Equivalents Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).",,,,,,,,,
96,County at DX Geocode2010,3,NAACCR,"A,C,I,M",Demographic,countyAtDxGeocode2010,Tumor,2016,16,,,D,.,D,.,"County at Diagnosis 2010 Code for the county of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2010 Decennial Census. This code should be used for county and county-based (such as PRCDA, or historically CHSDA) rates and analysis for all cases diagnosed in 2010-2019.","Census tracts are areas geographically nested within counties and designated with a 6-digit number code. This 6-digit code is commonly repeated within a state in different counties. Census tract numbers are only unique when paired with the state and the county. Therefore, a tract cannot be accurately identified without knowing the county. Example from Massachusetts: Rural Franklin County contains a tract 040600 with 2010 population 4,612 people. Urban Suffolk County contains a tract 040600 with 2,444 people. The county must be known in order to distinguish between the two tract codes. Because we historically used a single variable for county at diagnosis \[90\], correct tract codes were frequently paired with the wrong county due to incorrect county assignment during abstracting or a change of county over time. Also, some variables, such as the Census Tr Poverty Indicatr \[145\] require the use of the decennial Census County codes closest to year of diagnosis and not the decade of year of diagnosis. Using a single county at diagnosis, and using the reported versus geocoded data, may result in erroneous assignment of geographic location as well as invalid links with census data (i.e., population, poverty category, urban/rural designation).

**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level.
*   It is recommended that all cases diagnosed through 2019 should have a geocoded County at Diagnosis 2010.
*   At a minimum, all cases diagnosed through 2006-2019 should have a geocoded County at Diagnosis 2010. Cases diagnosed 2006-2009 must have both County at Diagnosis 2000 and County at Diagnosis 2010 codes for proper assignment of the Census Tract Poverty Indicator \[145\]. Cases diagnosed 2016-2019 must have both County at Diagnosis 2010 and County at Diagnosis 2020 codes for proper assignment of the Census Tract Poverty Indicator \[145\].
*   If the patient has multiple tumors, geocoded county may be different for each tumor.
*   Do not update this item if the patient's county of residence changes. Store updated address information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis. For instance, it is appropriate to correct a county during manual geocoding or a consolidation process.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   Detailed standards have not been set for Canadian provinces/territories. Use code 998 for Canadian residents.
*   Blank ""Not geocoded"" is allowable for cases diagnosed before 2005 and after 2019. However, it is preferred to have all cases geocoded to a 2010 Census County to allow for both retrospective and cross-sectional analyses.",,,**Codes**,000-999,,digits,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication “Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas.” These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes; however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and changes will automatically be accounted for during geocoding. County codes issued by the Federal Information Processing Standards (FIPS) publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ is available in the [**FIPS Codes for Counties and Equivalents Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).",,,,,,,,,
97,County at DX Geocode2020,3,NAACCR,"A,C,I,M",Demographic,countyAtDxGeocode2020,Tumor,2016,16,,,D,.,D,.,"Code for the county of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2020 Decennial Census. **This code should be used for county and county-based (such as PRCDA, or historically CHSDA) rates and analysis for all cases diagnosed in 2020-2029.**","Census tracts are areas geographically nested within counties and designated with a 6-digit number code. This 6-digit code is commonly repeated within a state in different counties. Census tract numbers are only unique when paired with the state and the county. Therefore, a tract cannot be accurately identified without knowing the county. Example from Massachusetts: Rural Franklin County contains a tract 040600 with 2010 population 4,612 people. Urban Suffolk County contains a tract 040600 with 2,444 people. The county must be known in order to distinguish between the two tract codes. Because we historically used a single variable for County at DX \[90\], correct tract codes were frequently paired with the wrong county due to incorrect county assignment during abstracting or a change of county over time. Also, some variables, such as the Census Tr Poverty Indicatr \[145\] require the use of the decennial Census County codes closest to year of diagnosis and not the decade of year of diagnosis. Using a single county at diagnosis, and using the reported versus geocoded data, may result in erroneous assignment of geographic location as well as invalid links with census data (i.e., population, poverty category, urban/rural designation).

**Instructions for Coding**

*   This variable is generated through the process of geocoding either during abstracting or at the central registry level.
*   It is recommended that all cases diagnosed through 2029 should have a geocoded County at Diagnosis 2020.
*   At a minimum, all cases diagnosed through 2016-2029 should have a geocoded County at Diagnosis 2020. Cases diagnosed in 2016-2019, must have both County at Diagnosis 2010 and County at Diagnosis 2020 codes for proper assignment of the Census Tr Poverty Indicatr \[145\].
*   If the patient has multiple tumors, geocoded county may be different for each tumor.
*   Do not update this item if the patient's county of residence changes. Store updated address information in the affiliated current address data items. Only update based on improved information on the residential address at time of diagnosis. For instance, it is appropriate to correct a county during manual geocoding or a consolidation process.
*   PO Box address information should not be used to geocode this data item except in the infrequent case when no other address information is available.
*   If the patient has multiple tumors, the county codes may be different for each tumor.
*   Detailed standards have not been set for Canadian provinces/territories. Use code 998 for Canadian residents.
*   Blank ""Not geocoded"" is allowable for cases diagnosed before 2015 and after 2029. However, it is preferred to have all cases geocoded to a 2020 Census County to allow for both retrospective and cross-sectional analyses.",,,**Codes**,001-999,,digits,"_Note_: For U.S. residents, historically, standard codes are those of the FIPS publication ""Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas."" These FIPS codes (FIPS 6-4) have been replaced by INCITS standard codes; however, there is no impact on this variable as the codes align with the system the Census used for each decennial census and changes will automatically be accounted for during geocoding. County codes issued by the Federal Information Processing Standards (FIPS) publication _Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas_ is available in the [**FIPS Codes for Counties and Equivalents Section**](https://apps.naaccr.org/data-dictionary/data-dictionary/version=24/chapter-view/fips-codes-for-counties-and-equivalent-entities/).",,,,,,,,,
